Monthly Income,Utilities,Food,Transportation,Healthcare,Personal Care,Education,Entertainment,Savings,Others
8910,2863.83,2506.16,1039.87,480.61,499.45,1317.73,478.77,343.54,444.95
6493,1956.7,1750.56,864.98,374.07,441.16,943.66,328.33,465.49,273.5
2870,973.43,859.5,367.52,151.23,162.14,399.72,149.38,115.6,141.04
8938,2686.1,2448.49,1099.76,585.44,538.35,934.16,572.11,235.99,423.0
6488,2193.56,1696.07,940.68,389.82,419.26,720.41,434.32,244.25,305.42
2206,760.33,593.62,244.83,151.28,119.54,321.32,144.83,85.83,103.32
7134,2294.59,2016.72,977.86,386.41,392.92,795.24,469.4,450.22,323.77
7977,2606.7,2024.6,861.14,508.67,455.98,936.39,440.48,240.69,349.28
9721,3148.14,2723.63,1271.38,678.38,613.24,996.63,678.35,379.23,480.54
9035,2886.32,2679.43,1296.8,571.98,599.47,1187.24,467.36,222.22,375.05
3484,1199.79,1019.13,428.17,178.99,212.29,446.53,231.41,247.03,145.49
9858,3398.02,2497.86,1342.8,608.91,519.11,1459.86,511.99,625.85,395.97
9742,3086.18,2919.38,1373.81,522.14,574.05,1408.86,539.23,450.56,461.71
2863,946.95,815.77,305.77,144.9,150.46,358.73,171.52,131.13,140.11
4790,1658.99,1236.37,648.05,271.59,247.96,624.94,244.61,143.62,200.51
9408,3274.95,2357.84,1373.49,520.47,581.34,1135.17,544.57,405.19,379.56
2563,834.12,662.7,330.16,168.58,177.17,273.27,146.1,190.71,108.78
7116,2295.92,2077.22,777.82,408.98,475.01,1020.36,447.91,201.52,347.52
6191,1943.57,1554.45,658.4,400.3,405.45,789.21,398.45,408.0,248.64
8019,2790.16,2098.23,906.04,403.55,517.56,972.46,415.46,183.08,328.87
3757,1153.93,1081.51,395.14,188.96,255.26,388.56,190.71,145.4,151.22
8628,2838.54,2409.85,1084.28,436.46,561.31,1149.85,565.29,611.0,426.49
9574,3007.46,2768.2,990.77,520.7,598.73,1148.72,579.8,447.1,395.93
8374,2629.02,2405.91,930.94,481.34,479.78,943.62,508.24,520.54,410.36
8892,2847.65,2245.5,1084.78,552.7,462.55,1279.0,619.01,233.08,397.78
3678,1287.08,1083.63,454.95,256.42,217.81,401.57,216.1,224.38,161.64
5242,1587.01,1370.01,672.39,299.26,359.05,659.19,282.67,362.44,232.04
6636,2182.76,1842.62,897.72,339.19,409.19,927.63,422.13,453.34,293.22
3059,930.33,863.29,313.12,164.87,164.24,435.77,202.85,141.73,132.81
8668,2667.37,2240.08,901.74,589.05,545.91,1221.63,520.49,643.59,417.0
7279,2343.68,2175.05,750.05,465.77,431.71,1054.23,464.66,396.69,328.14
3722,1211.6,1021.35,450.95,244.92,255.43,398.69,224.36,257.09,185.76
5314,1662.96,1343.82,542.52,278.9,282.8,781.28,308.99,174.34,240.07
5157,1628.7,1530.92,708.08,271.77,331.29,518.49,261.39,168.19,248.49
7915,2408.92,2210.77,879.75,413.52,503.65,892.77,423.25,516.55,375.57
4625,1457.62,1317.94,679.69,310.54,322.23,481.93,275.63,271.94,203.55
4729,1647.24,1306.43,587.91,256.31,289.88,696.47,273.95,286.48,226.45
8700,3020.95,2538.11,1064.15,546.91,586.65,1054.41,581.66,297.49,361.48
3597,1139.33,905.21,500.08,216.98,181.63,416.4,187.65,158.19,151.19
5060,1662.43,1332.9,686.43,308.09,265.44,548.27,258.07,179.64,233.72
4693,1621.34,1283.45,611.81,252.99,267.12,505.86,242.83,113.04,221.11
6891,2069.43,1749.14,1011.3,432.1,429.91,900.63,438.0,222.14,320.01
7147,2433.8,2039.01,865.59,363.51,421.54,731.53,442.32,569.69,322.29
7739,2688.67,2087.08,1086.76,540.72,418.32,1003.88,484.81,263.46,320.21
5627,1713.79,1483.47,669.64,284.36,347.66,780.65,299.01,166.32,246.06
3363,1036.05,841.32,477.27,171.52,206.27,437.36,202.88,207.88,154.86
9965,3468.19,2849.91,1125.78,562.95,602.77,1408.34,651.25,559.32,421.13
3981,1301.3,1161.22,455.68,265.26,206.26,450.9,253.5,257.81,184.63
7450,2240.29,2009.65,997.51,410.82,510.63,773.75,437.86,441.19,315.45
3663,1146.09,1019.09,405.26,217.72,226.54,498.35,190.73,122.27,150.1
3529,1138.09,922.43,393.33,177.72,195.08,499.02,237.9,176.64,152.61
4038,1351.3,1135.12,465.43,208.27,257.42,505.09,244.4,123.56,172.53
9515,3203.3,2384.52,1274.5,591.45,536.25,1341.91,645.05,335.04,457.71
7592,2655.46,2083.49,1096.81,409.11,456.41,933.03,446.21,601.4,340.4
5302,1666.82,1496.28,709.03,338.72,301.27,582.83,290.23,337.85,215.48
4237,1385.12,1253.77,599.07,278.4,286.45,524.2,237.9,283.76,204.04
9392,3068.05,2527.08,1194.46,629.33,656.31,1040.61,548.15,204.78,400.92
7504,2403.4,2163.1,776.26,395.28,399.39,927.51,467.38,322.13,342.77
7496,2312.2,2098.01,787.25,443.09,378.33,804.9,490.08,399.65,340.43
3306,1153.37,979.74,422.24,227.92,179.8,361.27,181.34,95.81,164.36
6029,2065.93,1627.34,701.72,394.55,372.59,869.05,324.09,427.53,256.53
8776,2851.47,2334.02,974.39,459.33,469.33,928.44,474.37,249.03,363.78
4675,1543.51,1376.12,576.49,280.73,309.62,519.92,321.13,272.04,199.08
7068,2200.71,1784.4,942.34,483.79,411.17,1058.62,376.58,375.96,323.46
7864,2573.02,2019.63,937.78,462.41,489.22,1012.89,447.58,558.02,331.67
3282,1098.64,834.02,459.9,219.07,194.01,424.33,195.99,127.04,142.45
9526,3103.17,2783.07,1304.36,570.77,648.4,1355.06,582.27,352.89,443.73
2709,946.83,678.69,370.44,141.24,137.35,341.92,181.94,191.76,111.52
7575,2504.05,2220.1,1130.64,401.15,489.24,841.5,395.85,252.13,374.61
7530,2398.67,2052.4,864.15,383.53,474.72,912.06,392.77,487.66,341.29
6744,2283.57,1687.36,891.8,363.54,424.81,928.99,379.88,212.23,302.37
6413,1978.56,1732.04,915.61,435.26,373.75,921.05,373.65,465.21,279.8
5748,1834.91,1490.69,741.36,362.15,289.2,653.32,330.37,404.34,244.04
9392,2980.53,2641.22,1309.95,608.39,599.07,1062.22,543.21,631.59,421.08
9986,3211.4,2835.7,1205.54,623.46,664.96,1162.17,669.35,494.19,448.0
7353,2493.32,2017.49,952.39,424.49,380.18,954.5,490.69,161.99,298.25
6779,2197.81,1708.48,696.77,368.35,398.82,772.3,448.16,189.46,328.6
2663,904.62,753.11,397.55,182.45,141.81,385.22,173.38,126.22,128.38
3998,1314.64,1167.82,559.72,241.07,248.75,595.3,203.13,90.43,177.82
9994,3169.13,2858.45,1433.54,595.86,656.73,1338.76,529.56,237.94,433.42
5445,1854.02,1587.21,733.52,380.73,344.85,808.66,351.99,149.9,244.97
5743,1791.32,1493.33,627.72,331.25,323.68,656.96,355.47,204.74,242.44
7727,2404.79,2275.17,784.69,518.35,407.94,1087.64,490.5,501.94,309.15
3495,1136.66,930.05,500.6,235.03,230.27,468.06,224.86,79.96,152.18
5304,1660.38,1329.55,635.51,289.88,299.56,600.2,361.88,419.11,213.11
5763,1731.52,1683.77,652.33,299.08,290.7,668.05,361.36,209.94,232.87
7232,2404.02,2148.56,926.3,502.71,444.25,899.89,401.46,283.58,291.41
3853,1254.36,1089.54,466.39,225.47,211.66,537.81,199.05,134.37,188.03
7616,2454.45,1992.13,1009.75,381.14,508.93,1093.74,446.62,427.59,315.58
8585,2990.57,2254.31,1066.17,514.93,453.85,1130.62,551.13,181.71,365.23
6659,2187.88,1820.1,898.04,415.43,390.86,906.15,370.49,170.56,299.01
3291,1129.38,970.49,469.53,215.63,181.21,372.52,172.45,85.32,149.06
5581,1713.21,1437.0,612.67,384.3,356.02,764.9,390.53,334.15,230.05
9974,3276.06,2905.41,1161.69,681.26,608.12,1299.1,582.26,396.68,489.67
5457,1873.93,1443.73,664.89,375.46,359.18,606.52,296.46,252.38,230.89
9554,3144.75,2774.76,1414.98,483.84,565.33,1409.3,509.14,735.64,472.21
9280,3117.16,2747.01,1097.51,596.11,464.89,1165.97,624.13,296.98,395.04
3636,1158.44,986.72,432.88,198.22,197.45,508.03,241.4,88.03,145.53
5696,1735.13,1527.97,755.71,306.17,398.62,719.29,354.67,264.78,283.2
4999,1614.15,1450.27,604.68,329.97,290.48,733.09,304.66,149.19,224.14
5152,1647.22,1424.39,760.24,300.58,321.51,551.59,355.64,147.76,251.35
2698,926.37,766.83,390.46,184.36,183.73,343.48,147.22,120.35,127.73
4160,1298.75,1169.55,522.79,211.53,209.71,421.23,242.56,250.34,173.85
6097,2123.81,1570.86,806.26,402.67,385.28,669.88,307.86,210.78,295.42
6737,2343.85,1968.82,693.25,355.29,375.71,768.36,393.25,488.82,272.92
8363,2612.45,2172.61,1127.22,447.68,464.86,1033.92,482.41,349.13,376.97
7685,2439.24,2279.48,1040.24,457.62,418.81,1083.65,530.19,584.39,326.93
2854,984.0,749.26,336.66,165.28,189.66,351.99,163.15,141.4,124.48
7855,2736.14,2251.98,871.78,469.13,451.34,1005.91,523.9,499.61,373.66
9392,3025.84,2481.67,1368.92,646.17,482.21,1373.14,613.6,666.28,439.86
8528,2695.27,2267.5,1034.75,538.52,442.92,1175.39,451.52,441.61,378.65
5474,1786.19,1453.35,726.32,305.48,289.97,561.14,379.1,388.76,221.47
7757,2593.85,2229.32,788.63,414.68,527.31,844.14,485.74,331.06,313.38
7249,2273.82,2014.07,874.98,423.35,424.42,738.75,448.94,303.04,340.86
7172,2415.7,2109.63,1010.27,423.38,490.0,741.96,360.28,485.14,354.93
3707,1121.67,983.72,442.54,229.93,245.96,433.51,237.19,127.8,179.69
4777,1444.87,1359.53,621.77,264.26,318.9,651.55,244.16,301.06,196.92
7791,2487.78,2241.06,860.85,509.14,434.24,874.29,418.44,191.86,321.08
3733,1185.88,961.52,451.04,194.0,206.91,446.52,194.01,217.03,172.11
7535,2379.41,2034.67,1102.99,461.21,461.15,901.89,433.75,576.54,350.95
8390,2722.98,2300.04,1076.63,524.13,489.63,1086.63,553.02,397.58,387.32
6931,2190.45,1856.01,1005.66,375.22,417.12,1002.54,444.61,311.6,338.61
5510,1705.97,1466.24,799.51,366.53,281.36,821.88,287.26,288.9,233.13
2202,694.67,626.07,324.15,137.2,152.89,286.77,145.26,139.11,91.87
5255,1832.66,1370.47,760.76,330.62,268.86,658.21,311.19,218.24,258.24
6218,1993.22,1775.05,622.82,372.8,333.14,833.8,314.96,124.41,293.62
6496,2093.24,1927.7,952.97,442.97,412.91,866.58,353.88,325.61,306.07
2766,909.54,769.67,295.61,176.69,146.9,349.06,181.74,124.9,119.92
6389,2230.83,1792.57,651.65,368.24,333.11,874.32,413.15,331.99,295.67
4327,1350.37,1096.66,444.68,237.0,229.64,538.99,232.65,272.25,204.52
4931,1647.27,1445.89,579.13,253.56,252.66,738.78,250.3,182.46,226.84
9777,3283.11,2583.79,1281.18,521.18,537.99,1001.65,546.57,491.94,463.06
2197,725.81,616.81,263.89,153.47,121.76,268.39,144.78,77.34,100.84
9125,2777.91,2727.97,924.16,530.48,547.25,1093.64,627.51,433.99,454.61
3930,1312.01,1099.52,486.63,267.14,230.98,544.36,241.53,159.84,176.54
5582,1692.49,1597.77,681.6,298.14,331.99,611.46,289.27,235.24,223.98
8895,2933.63,2421.81,1226.11,520.42,554.34,1082.56,534.07,487.1,370.33
8287,2792.55,2096.76,944.56,573.55,452.63,1117.89,579.89,508.63,411.38
2608,809.91,756.01,289.17,135.15,137.43,339.46,179.36,54.14,116.57
5272,1803.45,1327.23,594.67,326.23,356.27,670.89,368.32,382.74,217.23
3147,948.88,897.0,362.49,215.2,197.25,383.14,201.37,131.73,130.78
6282,2149.64,1577.7,816.4,433.42,321.72,864.41,367.63,368.23,253.1
5397,1743.32,1581.94,666.94,361.17,373.59,714.14,366.25,147.57,228.1
4511,1402.38,1163.3,527.09,302.77,288.08,648.39,306.31,244.89,224.95
9516,2918.45,2623.69,1129.7,599.92,504.67,1300.36,503.28,577.69,411.93
3794,1319.04,1061.78,449.76,206.43,263.24,406.04,248.54,111.72,161.25
2659,807.36,725.58,395.18,171.81,152.38,348.27,181.84,198.71,124.11
4811,1491.19,1284.72,537.15,334.69,335.28,491.81,327.01,314.87,224.88
9098,2887.62,2487.31,1281.94,550.6,473.69,1086.02,583.52,473.42,451.97
8051,2664.98,2138.11,1090.19,444.53,428.31,970.93,489.08,241.24,380.78
8546,2796.59,2323.71,856.98,525.32,539.67,1219.89,560.06,614.74,351.24
3369,1031.86,902.71,504.2,214.98,169.94,367.28,203.23,81.25,167.96
3986,1253.54,1109.34,549.36,215.9,200.79,526.86,224.91,107.26,189.34
7630,2380.08,1998.27,1023.35,491.25,502.36,836.4,421.01,472.22,324.98
